ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
1633034,ID,298.08,85,-0.73,119.89,11,0.78
2138522,NC,291,81,-21.35,165.15,44,2.82
6077243,CA,292.15,72,45.51,-73.59,90,2.6
2396518,GA,301.15,69,-0.72,8.78,20,5.67
5563839,US,285.93,100,40.6,-124.16,90,1.97
5924351,CA,281.15,81,70.47,-68.59,90,3.6
1485904,RU,293.35,78,53.28,92.4,26,1.35
2112444,JP,298.15,73,39.27,141.88,75,2.1
3393692,BR,300.01,51,-2.92,-39.92,4,6.79
286621,OM,301.15,88,17.02,54.09,90,5.1
2618795,FO,285.15,71,62.23,-6.59,20,3.1
1024312,MZ,294.87,75,-16.84,36.99,50,3.6
2125693,RU,283.52,80,61.95,159.23,78,1.59
2614432,DK,291.48,63,54.94,10.71,40,3.6
3661894,BR,297.12,82,-2.87,-67.8,94,0.36
599808,LT,288.15,72,55.35,23.9,75,6.2
2269142,PT,301.15,69,38.8,-9.45,20,4.1
3687238,CO,299.15,94,10.4,-75.51,40,1
2519738,ES,303.15,51,37.39,-6.05,40,3.1
2027042,RU,294.38,51,67.8,130.41,1,2.7
3356832,NA,294.26,52,-22.12,14.28,0,4.27
556268,RU,294.66,57,68.05,39.51,12,8.33
5554428,US,287.15,93,55.34,-131.65,90,0.99
5850554,US,298.15,88,21.35,-158.09,1,2.86
962367,ZA,297.2,44,-28.78,32.04,0,4.33
3374083,BB,301.15,78,13.22,-59.52,40,7.7
578732,RU,293.8,52,58.65,30.3,31,5.25
1806408,CN,301.18,80,21.85,111.97,0,3.05
6089245,CA,280.15,100,65.28,-126.83,75,1
2126199,RU,292.98,43,68.75,161.3,79,3.96
4944903,US,295.93,94,41.28,-70.1,1,2.1
5960971,CA,290.37,90,49.4,-123.5,72,2.22
4032420,TO,297.24,65,-18.65,-173.98,41,5.83
5641727,US,289.26,71,45.68,-111.04,1,1.5
1279945,CN,296.89,41,39.74,98.52,100,5.11
128226,IR,312.15,4,34.31,47.06,40,6.2
3355595,NA,297.19,18,-24.63,17.97,0,4.27
3835869,AR,287.89,51,-27.8,-64.26,100,6.05
5364271,US,287.59,87,38.42,-121.42,1,5.1
3691954,PE,290.36,82,-5.56,-80.82,59,4.02
1213821,ID,300.6,76,5.38,95.96,84,2.64
293842,IL,304.82,58,31.61,34.76,0,0.89
2677456,SE,290.37,51,59.32,13.47,5,4.6
3565432,CU,296.15,83,23.04,-81.2,20,2.6
503581,RU,291.83,82,65.83,31.17,75,4.97
287832,OM,309.01,36,22.69,58.53,85,7.44
608271,KZ,296.24,60,49.14,56.49,67,10.37
1735799,MY,300.15,94,1.24,111.46,62,1.12
522902,RU,301.48,49,50.41,41.76,9,0.89
1218436,TM,313.15,11,38.78,63.88,0,4.1
1061335,MG,292.45,81,-21.22,48.33,87,3.99
5545269,US,296.15,27,39.6,-110.81,1,3.1
1258003,IN,301.72,55,30.28,78.98,83,2.08
2121025,RU,294.39,46,67.45,153.68,86,4.29
57000,SO,300.72,65,5.35,48.53,94,14.02
3870243,CL,285.32,73,-25.4,-70.48,70,1.46
103630,SA,313.15,11,17.49,44.13,40,5.1
780687,NO,283.15,93,70.86,29.09,75,7.7
3832791,AR,282.59,81,-31.42,-64.5,90,3.1
2670781,SE,290.93,48,62.39,17.31,62,9.8
1056899,MG,296.64,63,-14.27,50.17,76,9.39
3437443,PY,295.69,51,-23.49,-58.8,100,3.95
2509835,ES,299.82,56,37.58,-6.75,8,1.79
3868626,CL,282.04,93,-33.04,-71.63,0,2.1
5301067,US,300.15,30,35.19,-114.05,1,3.6
986717,ZA,294,42,-34,24.73,0,3.33
686090,RO,294.82,77,46.43,26.4,67,1.03
2062276,AU,294.82,67,-20.78,117.13,0,1.34
2913433,DE,292.59,55,53.8,12.17,75,4.6
3382160,GF,297.15,100,4.93,-52.33,75,0.5
4035249,WS,299.82,94,-13.87,-171.6,100,6.89
